	Code	Name
COG0059	E	Amino acid transport and metabolism
COG0059	H	Coenzyme transport and metabolism
COG0060	J	Translation, ribosomal structure and biogenesis
COG0061	F	Nucleotide transport and metabolism
COG0062	F	Nucleotide transport and metabolism
COG0063	F	Nucleotide transport and metabolism
COG0064	J	Translation, ribosomal structure and biogenesis
COG0065	E	Amino acid transport and metabolism
COG0066	E	Amino acid transport and metabolism
COG0067	E	Amino acid transport and metabolism
COG0068	O	Posttranslational modification, protein turnover, chaperones
COG0069	E	Amino acid transport and metabolism
COG0070	E	Amino acid transport and metabolism
COG0071	O	Posttranslational modification, protein turnover, chaperones
COG0072	J	Translation, ribosomal structure and biogenesis
COG0073	J	Translation, ribosomal structure and biogenesis
COG0074	C	Energy production and conversion
COG0075	E	Amino acid transport and metabolism
COG0075	F	Nucleotide transport and metabolism
COG0076	E	Amino acid transport and metabolism
COG0077	E	Amino acid transport and metabolism
COG0078	E	Amino acid transport and metabolism
COG0079	E	Amino acid transport and metabolism
COG0080	J	Translation, ribosomal structure and biogenesis
COG0081	J	Translation, ribosomal structure and biogenesis
COG0082	E	Amino acid transport and metabolism
COG0083	E	Amino acid transport and metabolism
COG0084	N	Cell motility
COG0085	K	Transcription
COG0086	K	Transcription
COG0087	J	Translation, ribosomal structure and biogenesis
COG0088	J	Translation, ribosomal structure and biogenesis
COG0089	J	Translation, ribosomal structure and biogenesis
COG0090	J	Translation, ribosomal structure and biogenesis
COG0091	J	Translation, ribosomal structure and biogenesis
COG0092	J	Translation, ribosomal structure and biogenesis
COG0093	J	Translation, ribosomal structure and biogenesis
COG0094	J	Translation, ribosomal structure and biogenesis
COG0095	H	Coenzyme transport and metabolism
COG0096	J	Translation, ribosomal structure and biogenesis
COG0097	J	Translation, ribosomal structure and biogenesis
COG0098	J	Translation, ribosomal structure and biogenesis
COG0099	J	Translation, ribosomal structure and biogenesis
COG0100	J	Translation, ribosomal structure and biogenesis
COG0101	J	Translation, ribosomal structure and biogenesis
COG0102	J	Translation, ribosomal structure and biogenesis
COG0103	J	Translation, ribosomal structure and biogenesis
COG0104	F	Nucleotide transport and metabolism
COG0105	F	Nucleotide transport and metabolism
COG0106	E	Amino acid transport and metabolism
COG0107	E	Amino acid transport and metabolism
COG0108	H	Coenzyme transport and metabolism
COG0109	H	Coenzyme transport and metabolism
COG0109	I	Lipid transport and metabolism
COG0110	R	General function prediction only
COG0111	H	Coenzyme transport and metabolism
COG0111	R	General function prediction only
COG0112	E	Amino acid transport and metabolism
COG0113	H	Coenzyme transport and metabolism
COG0114	C	Energy production and conversion
COG0115	E	Amino acid transport and metabolism
COG0115	H	Coenzyme transport and metabolism
COG0116	J	Translation, ribosomal structure and biogenesis
COG0117	H	Coenzyme transport and metabolism
COG0118	E	Amino acid transport and metabolism
COG0119	E	Amino acid transport and metabolism
COG0120	G	Carbohydrate transport and metabolism
COG0121	R	General function prediction only
COG0122	L	Replication, recombination and repair
COG0123	B	Chromatin structure and dynamics
COG0123	Q	Secondary metabolites biosynthesis, transport and catabolism
COG0124	J	Translation, ribosomal structure and biogenesis
COG0125	F	Nucleotide transport and metabolism
COG0126	G	Carbohydrate transport and metabolism
COG0127	F	Nucleotide transport and metabolism
COG0128	E	Amino acid transport and metabolism
COG0129	E	Amino acid transport and metabolism
COG0129	G	Carbohydrate transport and metabolism
COG0130	J	Translation, ribosomal structure and biogenesis
COG0131	E	Amino acid transport and metabolism
COG0132	H	Coenzyme transport and metabolism
COG0133	E	Amino acid transport and metabolism
COG0134	E	Amino acid transport and metabolism
COG0135	E	Amino acid transport and metabolism
COG0136	E	Amino acid transport and metabolism
COG0137	E	Amino acid transport and metabolism
COG0138	F	Nucleotide transport and metabolism
COG0139	E	Amino acid transport and metabolism
COG0140	E	Amino acid transport and metabolism
COG0141	E	Amino acid transport and metabolism
COG0142	H	Coenzyme transport and metabolism
COG0143	J	Translation, ribosomal structure and biogenesis
COG0144	J	Translation, ribosomal structure and biogenesis
COG0145	E	Amino acid transport and metabolism
COG0145	Q	Secondary metabolites biosynthesis, transport and catabolism
COG0146	E	Amino acid transport and metabolism
COG0146	Q	Secondary metabolites biosynthesis, transport and catabolism
COG0147	E	Amino acid transport and metabolism
COG0147	H	Coenzyme transport and metabolism
COG0148	G	Carbohydrate transport and metabolism
COG0149	G	Carbohydrate transport and metabolism
COG0150	F	Nucleotide transport and metabolism
COG0151	F	Nucleotide transport and metabolism
COG0152	F	Nucleotide transport and metabolism
COG0153	G	Carbohydrate transport and metabolism
COG0154	J	Translation, ribosomal structure and biogenesis
COG0155	P	Inorganic ion transport and metabolism
COG0156	H	Coenzyme transport and metabolism
COG0157	H	Coenzyme transport and metabolism
COG0158	G	Carbohydrate transport and metabolism
COG0159	E	Amino acid transport and metabolism
COG0160	E	Amino acid transport and metabolism
COG0161	H	Coenzyme transport and metabolism
COG0162	J	Translation, ribosomal structure and biogenesis
COG0163	H	Coenzyme transport and metabolism
COG0164	L	Replication, recombination and repair
COG0165	E	Amino acid transport and metabolism
COG0166	G	Carbohydrate transport and metabolism
COG0167	F	Nucleotide transport and metabolism
COG0168	P	Inorganic ion transport and metabolism
COG0169	E	Amino acid transport and metabolism
COG0170	O	Posttranslational modification, protein turnover, chaperones
COG0171	H	Coenzyme transport and metabolism
COG0172	J	Translation, ribosomal structure and biogenesis
COG0173	J	Translation, ribosomal structure and biogenesis
COG0174	E	Amino acid transport and metabolism
COG0175	E	Amino acid transport and metabolism
COG0175	H	Coenzyme transport and metabolism
COG0176	G	Carbohydrate transport and metabolism
COG0177	L	Replication, recombination and repair
COG0178	L	Replication, recombination and repair
COG0179	Q	Secondary metabolites biosynthesis, transport and catabolism
COG0180	J	Translation, ribosomal structure and biogenesis
COG0181	H	Coenzyme transport and metabolism
COG0182	E	Amino acid transport and metabolism
COG0183	I	Lipid transport and metabolism
COG0184	J	Translation, ribosomal structure and biogenesis
COG0185	J	Translation, ribosomal structure and biogenesis
COG0186	J	Translation, ribosomal structure and biogenesis
COG0187	L	Replication, recombination and repair
COG0188	L	Replication, recombination and repair
COG0189	H	Coenzyme transport and metabolism
COG0189	J	Translation, ribosomal structure and biogenesis
COG0190	H	Coenzyme transport and metabolism
COG0191	G	Carbohydrate transport and metabolism
COG0192	H	Coenzyme transport and metabolism
COG0193	J	Translation, ribosomal structure and biogenesis
COG0194	F	Nucleotide transport and metabolism
COG0195	K	Transcription
COG0196	H	Coenzyme transport and metabolism
COG0197	J	Translation, ribosomal structure and biogenesis
COG0198	J	Translation, ribosomal structure and biogenesis
COG0199	J	Translation, ribosomal structure and biogenesis
COG0200	J	Translation, ribosomal structure and biogenesis
COG0201	U	Intracellular trafficking, secretion, and vesicular transport
COG0202	K	Transcription
COG0203	J	Translation, ribosomal structure and biogenesis
COG0204	I	Lipid transport and metabolism
COG0205	G	Carbohydrate transport and metabolism
COG0206	D	Cell cycle control, cell division, chromosome partitioning
COG0207	F	Nucleotide transport and metabolism
COG0208	F	Nucleotide transport and metabolism
COG0209	F	Nucleotide transport and metabolism
COG0210	L	Replication, recombination and repair
COG0211	J	Translation, ribosomal structure and biogenesis
COG0212	H	Coenzyme transport and metabolism
COG0213	F	Nucleotide transport and metabolism
COG0214	H	Coenzyme transport and metabolism
COG0215	J	Translation, ribosomal structure and biogenesis
COG0216	J	Translation, ribosomal structure and biogenesis
COG0217	K	Transcription
COG0217	J	Translation, ribosomal structure and biogenesis
COG0218	D	Cell cycle control, cell division, chromosome partitioning
COG0219	J	Translation, ribosomal structure and biogenesis
COG0220	J	Translation, ribosomal structure and biogenesis
COG0221	C	Energy production and conversion
COG0221	P	Inorganic ion transport and metabolism
COG0222	J	Translation, ribosomal structure and biogenesis
COG0223	J	Translation, ribosomal structure and biogenesis
COG0224	C	Energy production and conversion
COG0225	O	Posttranslational modification, protein turnover, chaperones
COG0226	P	Inorganic ion transport and metabolism
COG0227	J	Translation, ribosomal structure and biogenesis
COG0228	J	Translation, ribosomal structure and biogenesis
COG0229	O	Posttranslational modification, protein turnover, chaperones
COG0230	J	Translation, ribosomal structure and biogenesis
COG0231	J	Translation, ribosomal structure and biogenesis
COG0232	F	Nucleotide transport and metabolism
COG0233	J	Translation, ribosomal structure and biogenesis
COG0234	O	Posttranslational modification, protein turnover, chaperones
COG0235	G	Carbohydrate transport and metabolism
COG0236	I	Lipid transport and metabolism
COG0236	Q	Secondary metabolites biosynthesis, transport and catabolism
COG0237	H	Coenzyme transport and metabolism
COG0238	J	Translation, ribosomal structure and biogenesis
COG0239	D	Cell cycle control, cell division, chromosome partitioning
COG0239	P	Inorganic ion transport and metabolism
COG0240	C	Energy production and conversion
COG0241	E	Amino acid transport and metabolism
COG0242	J	Translation, ribosomal structure and biogenesis
COG0243	C	Energy production and conversion
COG0244	J	Translation, ribosomal structure and biogenesis
COG0245	I	Lipid transport and metabolism
COG0246	G	Carbohydrate transport and metabolism
COG0247	C	Energy production and conversion
COG0248	F	Nucleotide transport and metabolism
COG0248	T	Signal transduction mechanisms
COG0248	P	Inorganic ion transport and metabolism
COG0249	L	Replication, recombination and repair
COG0250	K	Transcription
COG0251	V	Defense mechanisms
COG0252	J	Translation, ribosomal structure and biogenesis
COG0252	U	Intracellular trafficking, secretion, and vesicular transport
COG0253	E	Amino acid transport and metabolism
COG0254	J	Translation, ribosomal structure and biogenesis
COG0255	J	Translation, ribosomal structure and biogenesis
COG0256	J	Translation, ribosomal structure and biogenesis
COG0257	J	Translation, ribosomal structure and biogenesis
COG0258	L	Replication, recombination and repair
COG0259	H	Coenzyme transport and metabolism
COG0260	E	Amino acid transport and metabolism
COG0261	J	Translation, ribosomal structure and biogenesis
COG0262	H	Coenzyme transport and metabolism
COG0263	E	Amino acid transport and metabolism
COG0264	J	Translation, ribosomal structure and biogenesis
COG0265	O	Posttranslational modification, protein turnover, chaperones
COG0266	L	Replication, recombination and repair
COG0267	J	Translation, ribosomal structure and biogenesis
COG0268	J	Translation, ribosomal structure and biogenesis
COG0269	G	Carbohydrate transport and metabolism
COG0270	L	Replication, recombination and repair
COG0271	T	Signal transduction mechanisms
COG0272	L	Replication, recombination and repair
COG0274	F	Nucleotide transport and metabolism
COG0275	J	Translation, ribosomal structure and biogenesis
COG0276	H	Coenzyme transport and metabolism
COG0277	C	Energy production and conversion
COG0278	O	Posttranslational modification, protein turnover, chaperones
COG0279	G	Carbohydrate transport and metabolism
COG0280	C	Energy production and conversion
COG0281	C	Energy production and conversion
COG0282	C	Energy production and conversion
COG0283	F	Nucleotide transport and metabolism
COG0284	F	Nucleotide transport and metabolism
COG0285	H	Coenzyme transport and metabolism
COG0286	V	Defense mechanisms
COG0287	E	Amino acid transport and metabolism
COG0288	P	Inorganic ion transport and metabolism
COG0289	E	Amino acid transport and metabolism
COG0290	J	Translation, ribosomal structure and biogenesis
COG0291	J	Translation, ribosomal structure and biogenesis
COG0292	J	Translation, ribosomal structure and biogenesis
COG0293	J	Translation, ribosomal structure and biogenesis
COG0294	H	Coenzyme transport and metabolism
COG0295	F	Nucleotide transport and metabolism
COG0296	G	Carbohydrate transport and metabolism
COG0297	G	Carbohydrate transport and metabolism
COG0298	O	Posttranslational modification, protein turnover, chaperones
COG0299	F	Nucleotide transport and metabolism
COG0300	R	General function prediction only
COG0301	H	Coenzyme transport and metabolism
COG0301	J	Translation, ribosomal structure and biogenesis
COG0302	H	Coenzyme transport and metabolism
COG0303	H	Coenzyme transport and metabolism
COG0304	I	Lipid transport and metabolism
COG0304	Q	Secondary metabolites biosynthesis, transport and catabolism
COG0305	L	Replication, recombination and repair
COG0306	P	Inorganic ion transport and metabolism
COG0307	H	Coenzyme transport and metabolism
COG0308	E	Amino acid transport and metabolism
COG0309	O	Posttranslational modification, protein turnover, chaperones
COG0310	P	Inorganic ion transport and metabolism
COG0311	H	Coenzyme transport and metabolism
COG0312	R	General function prediction only
COG0313	J	Translation, ribosomal structure and biogenesis
COG0314	H	Coenzyme transport and metabolism
COG0315	H	Coenzyme transport and metabolism
COG0316	O	Posttranslational modification, protein turnover, chaperones
COG0317	T	Signal transduction mechanisms
COG0317	K	Transcription
COG0318	I	Lipid transport and metabolism
COG0318	Q	Secondary metabolites biosynthesis, transport and catabolism
COG0319	J	Translation, ribosomal structure and biogenesis
COG0320	H	Coenzyme transport and metabolism
COG0321	H	Coenzyme transport and metabolism
COG0322	L	Replication, recombination and repair
COG0323	L	Replication, recombination and repair
COG0324	J	Translation, ribosomal structure and biogenesis
COG0325	R	General function prediction only
COG0326	O	Posttranslational modification, protein turnover, chaperones
COG0327	H	Coenzyme transport and metabolism
COG0328	L	Replication, recombination and repair
COG0329	E	Amino acid transport and metabolism
COG0329	M	Cell wall/membrane/envelope biogenesis
COG0330	O	Posttranslational modification, protein turnover, chaperones
COG0331	I	Lipid transport and metabolism
COG0332	I	Lipid transport and metabolism
COG0333	J	Translation, ribosomal structure and biogenesis
COG0334	E	Amino acid transport and metabolism
COG0335	J	Translation, ribosomal structure and biogenesis
COG0336	J	Translation, ribosomal structure and biogenesis
COG0337	E	Amino acid transport and metabolism
COG0338	L	Replication, recombination and repair
COG0339	E	Amino acid transport and metabolism
COG0340	H	Coenzyme transport and metabolism
COG0341	U	Intracellular trafficking, secretion, and vesicular transport
COG0342	U	Intracellular trafficking, secretion, and vesicular transport
COG0343	J	Translation, ribosomal structure and biogenesis
COG0344	I	Lipid transport and metabolism
COG0345	E	Amino acid transport and metabolism
COG0346	Q	Secondary metabolites biosynthesis, transport and catabolism
COG0347	T	Signal transduction mechanisms
COG0347	E	Amino acid transport and metabolism
COG0348	C	Energy production and conversion
COG0349	J	Translation, ribosomal structure and biogenesis
COG0350	L	Replication, recombination and repair
COG0351	H	Coenzyme transport and metabolism
COG0352	H	Coenzyme transport and metabolism
COG0353	L	Replication, recombination and repair
COG0354	O	Posttranslational modification, protein turnover, chaperones
COG0355	C	Energy production and conversion
COG0356	C	Energy production and conversion
COG0357	J	Translation, ribosomal structure and biogenesis
COG0358	L	Replication, recombination and repair
COG0359	J	Translation, ribosomal structure and biogenesis
COG0360	J	Translation, ribosomal structure and biogenesis
COG0361	J	Translation, ribosomal structure and biogenesis
COG0362	G	Carbohydrate transport and metabolism
COG0363	G	Carbohydrate transport and metabolism
COG0364	G	Carbohydrate transport and metabolism
COG0365	I	Lipid transport and metabolism
COG0366	G	Carbohydrate transport and metabolism
COG0367	E	Amino acid transport and metabolism
COG0368	H	Coenzyme transport and metabolism
COG0369	P	Inorganic ion transport and metabolism
COG0370	P	Inorganic ion transport and metabolism
COG0371	C	Energy production and conversion
COG0372	C	Energy production and conversion
COG0373	H	Coenzyme transport and metabolism
COG0374	C	Energy production and conversion
COG0375	R	General function prediction only
COG0376	P	Inorganic ion transport and metabolism
COG0377	C	Energy production and conversion
COG0378	O	Posttranslational modification, protein turnover, chaperones
COG0379	H	Coenzyme transport and metabolism
COG0380	G	Carbohydrate transport and metabolism
COG0381	M	Cell wall/membrane/envelope biogenesis
COG0382	H	Coenzyme transport and metabolism
COG0383	G	Carbohydrate transport and metabolism
COG0384	R	General function prediction only
COG0385	R	General function prediction only
COG0386	V	Defense mechanisms
COG0386	I	Lipid transport and metabolism
COG0387	P	Inorganic ion transport and metabolism
COG0388	R	General function prediction only
COG0389	L	Replication, recombination and repair
COG0390	P	Inorganic ion transport and metabolism
COG0391	H	Coenzyme transport and metabolism
COG0391	G	Carbohydrate transport and metabolism
COG0392	S	Function unknown
COG0393	S	Function unknown
COG0394	T	Signal transduction mechanisms
COG0395	G	Carbohydrate transport and metabolism
COG0396	O	Posttranslational modification, protein turnover, chaperones
COG0397	S	Function unknown
COG0398	S	Function unknown
COG0399	M	Cell wall/membrane/envelope biogenesis
COG0400	R	General function prediction only
COG0401	S	Function unknown
COG0402	F	Nucleotide transport and metabolism
COG0402	R	General function prediction only
COG0403	E	Amino acid transport and metabolism
COG0404	E	Amino acid transport and metabolism
COG0405	E	Amino acid transport and metabolism
COG0406	G	Carbohydrate transport and metabolism
COG0407	H	Coenzyme transport and metabolism
COG0408	H	Coenzyme transport and metabolism
COG0409	O	Posttranslational modification, protein turnover, chaperones
COG0410	E	Amino acid transport and metabolism
COG0411	E	Amino acid transport and metabolism
COG0412	Q	Secondary metabolites biosynthesis, transport and catabolism
COG0413	H	Coenzyme transport and metabolism
COG0414	H	Coenzyme transport and metabolism
COG0415	L	Replication, recombination and repair
COG0416	I	Lipid transport and metabolism
COG0417	L	Replication, recombination and repair
COG0418	F	Nucleotide transport and metabolism
COG0419	L	Replication, recombination and repair
COG0420	L	Replication, recombination and repair
COG0421	E	Amino acid transport and metabolism
COG0422	H	Coenzyme transport and metabolism
COG0423	J	Translation, ribosomal structure and biogenesis
COG0424	Q	Secondary metabolites biosynthesis, transport and catabolism
COG0425	O	Posttranslational modification, protein turnover, chaperones
COG0426	C	Energy production and conversion
COG0427	C	Energy production and conversion
COG0428	P	Inorganic ion transport and metabolism
COG0429	R	General function prediction only
COG0430	A	RNA processing and modification
COG0431	C	Energy production and conversion
COG0432	H	Coenzyme transport and metabolism
COG0433	L	Replication, recombination and repair
COG0434	R	General function prediction only
COG0435	C	Energy production and conversion
COG0436	E	Amino acid transport and metabolism
COG0437	C	Energy production and conversion
COG0438	M	Cell wall/membrane/envelope biogenesis
COG0439	I	Lipid transport and metabolism
COG0440	E	Amino acid transport and metabolism
COG0441	J	Translation, ribosomal structure and biogenesis
COG0442	J	Translation, ribosomal structure and biogenesis
COG0443	O	Posttranslational modification, protein turnover, chaperones
COG0444	E	Amino acid transport and metabolism
COG0444	P	Inorganic ion transport and metabolism
COG0445	J	Translation, ribosomal structure and biogenesis
COG0446	I	Lipid transport and metabolism
COG0447	H	Coenzyme transport and metabolism
COG0448	G	Carbohydrate transport and metabolism
COG0449	M	Cell wall/membrane/envelope biogenesis
COG0450	V	Defense mechanisms
COG0451	M	Cell wall/membrane/envelope biogenesis
COG0452	H	Coenzyme transport and metabolism
COG0454	K	Transcription
COG0454	R	General function prediction only
COG0455	D	Cell cycle control, cell division, chromosome partitioning
COG0455	N	Cell motility
COG0456	J	Translation, ribosomal structure and biogenesis
COG0457	R	General function prediction only
COG0458	E	Amino acid transport and metabolism
COG0458	F	Nucleotide transport and metabolism
COG0459	O	Posttranslational modification, protein turnover, chaperones
COG0460	E	Amino acid transport and metabolism
COG0461	F	Nucleotide transport and metabolism
COG0462	F	Nucleotide transport and metabolism
COG0462	E	Amino acid transport and metabolism
COG0463	M	Cell wall/membrane/envelope biogenesis
COG0464	M	Cell wall/membrane/envelope biogenesis
COG0464	D	Cell cycle control, cell division, chromosome partitioning
COG0464	T	Signal transduction mechanisms
COG0465	O	Posttranslational modification, protein turnover, chaperones
COG0466	O	Posttranslational modification, protein turnover, chaperones
COG0467	T	Signal transduction mechanisms
COG0468	L	Replication, recombination and repair
COG0469	G	Carbohydrate transport and metabolism
COG0470	L	Replication, recombination and repair
COG0471	G	Carbohydrate transport and metabolism
COG0472	M	Cell wall/membrane/envelope biogenesis
COG0473	C	Energy production and conversion
COG0473	E	Amino acid transport and metabolism
COG0474	P	Inorganic ion transport and metabolism
COG0475	P	Inorganic ion transport and metabolism
COG0476	H	Coenzyme transport and metabolism
COG0477	G	Carbohydrate transport and metabolism
COG0477	E	Amino acid transport and metabolism
COG0477	P	Inorganic ion transport and metabolism
COG0477	R	General function prediction only
COG0478	T	Signal transduction mechanisms
COG0479	C	Energy production and conversion
COG0480	J	Translation, ribosomal structure and biogenesis
COG0481	J	Translation, ribosomal structure and biogenesis
COG0482	J	Translation, ribosomal structure and biogenesis
COG0483	G	Carbohydrate transport and metabolism
COG0484	O	Posttranslational modification, protein turnover, chaperones
COG0486	J	Translation, ribosomal structure and biogenesis
COG0488	R	General function prediction only
COG0489	D	Cell cycle control, cell division, chromosome partitioning
COG0490	P	Inorganic ion transport and metabolism
COG0491	R	General function prediction only
COG0492	O	Posttranslational modification, protein turnover, chaperones
COG0493	E	Amino acid transport and metabolism
COG0493	R	General function prediction only
COG0494	V	Defense mechanisms
COG0495	J	Translation, ribosomal structure and biogenesis
COG0496	L	Replication, recombination and repair
COG0497	L	Replication, recombination and repair
COG0498	E	Amino acid transport and metabolism
COG0499	H	Coenzyme transport and metabolism
COG0500	Q	Secondary metabolites biosynthesis, transport and catabolism
COG0500	R	General function prediction only
COG0501	O	Posttranslational modification, protein turnover, chaperones
COG0502	H	Coenzyme transport and metabolism
COG0503	F	Nucleotide transport and metabolism
COG0504	F	Nucleotide transport and metabolism
COG0505	E	Amino acid transport and metabolism
COG0505	F	Nucleotide transport and metabolism
COG0506	E	Amino acid transport and metabolism
COG0507	L	Replication, recombination and repair
COG0508	C	Energy production and conversion
COG0509	E	Amino acid transport and metabolism
COG0510	H	Coenzyme transport and metabolism
COG0511	H	Coenzyme transport and metabolism
COG0511	I	Lipid transport and metabolism
COG0512	E	Amino acid transport and metabolism
COG0512	H	Coenzyme transport and metabolism
COG0513	L	Replication, recombination and repair
COG0514	L	Replication, recombination and repair
COG0515	T	Signal transduction mechanisms
COG0516	F	Nucleotide transport and metabolism
COG0517	T	Signal transduction mechanisms
COG0518	F	Nucleotide transport and metabolism
COG0519	F	Nucleotide transport and metabolism
COG0520	E	Amino acid transport and metabolism
COG0521	H	Coenzyme transport and metabolism
COG0522	J	Translation, ribosomal structure and biogenesis
COG0523	R	General function prediction only
COG0524	G	Carbohydrate transport and metabolism
COG0525	J	Translation, ribosomal structure and biogenesis
COG0526	O	Posttranslational modification, protein turnover, chaperones
COG0527	E	Amino acid transport and metabolism
COG0528	F	Nucleotide transport and metabolism
COG0529	P	Inorganic ion transport and metabolism
COG0530	P	Inorganic ion transport and metabolism
COG0531	E	Amino acid transport and metabolism
COG0532	J	Translation, ribosomal structure and biogenesis
COG0533	J	Translation, ribosomal structure and biogenesis
COG0534	V	Defense mechanisms
COG0535	R	General function prediction only
COG0536	D	Cell cycle control, cell division, chromosome partitioning
COG0536	L	Replication, recombination and repair
COG0537	F	Nucleotide transport and metabolism
COG0537	G	Carbohydrate transport and metabolism
COG0537	R	General function prediction only
COG0538	C	Energy production and conversion
COG0539	J	Translation, ribosomal structure and biogenesis
COG0540	F	Nucleotide transport and metabolism
COG0541	U	Intracellular trafficking, secretion, and vesicular transport
COG0542	O	Posttranslational modification, protein turnover, chaperones
COG0543	H	Coenzyme transport and metabolism
COG0543	C	Energy production and conversion
COG0544	O	Posttranslational modification, protein turnover, chaperones
COG0545	O	Posttranslational modification, protein turnover, chaperones
COG0546	C	Energy production and conversion
COG0547	E	Amino acid transport and metabolism
COG0548	E	Amino acid transport and metabolism
COG0549	E	Amino acid transport and metabolism
COG0550	L	Replication, recombination and repair
COG0551	L	Replication, recombination and repair
COG0552	U	Intracellular trafficking, secretion, and vesicular transport
COG0553	K	Transcription
COG0553	L	Replication, recombination and repair
COG0554	C	Energy production and conversion
COG0555	P	Inorganic ion transport and metabolism
COG0556	L	Replication, recombination and repair
COG0557	K	Transcription
COG0558	I	Lipid transport and metabolism
COG0559	E	Amino acid transport and metabolism
COG0560	E	Amino acid transport and metabolism
COG0561	H	Coenzyme transport and metabolism
COG0561	R	General function prediction only
COG0562	M	Cell wall/membrane/envelope biogenesis
COG0563	F	Nucleotide transport and metabolism
COG0564	J	Translation, ribosomal structure and biogenesis
COG0565	J	Translation, ribosomal structure and biogenesis
COG0566	J	Translation, ribosomal structure and biogenesis
COG0567	C	Energy production and conversion
COG0568	K	Transcription
COG0569	P	Inorganic ion transport and metabolism
COG0571	K	Transcription
COG0572	F	Nucleotide transport and metabolism
COG0573	P	Inorganic ion transport and metabolism
COG0574	G	Carbohydrate transport and metabolism
COG0575	I	Lipid transport and metabolism
COG0576	O	Posttranslational modification, protein turnover, chaperones
COG0577	V	Defense mechanisms
COG0578	C	Energy production and conversion
COG0579	G	Carbohydrate transport and metabolism
COG0580	G	Carbohydrate transport and metabolism
COG0581	P	Inorganic ion transport and metabolism
COG0582	L	Replication, recombination and repair
COG0582	X	Mobilome: prophages, transposons
COG0583	K	Transcription
COG0584	I	Lipid transport and metabolism
COG0585	J	Translation, ribosomal structure and biogenesis
COG0586	S	Function unknown
COG0587	L	Replication, recombination and repair
COG0588	G	Carbohydrate transport and metabolism
COG0589	T	Signal transduction mechanisms
COG0590	J	Translation, ribosomal structure and biogenesis
COG0591	E	Amino acid transport and metabolism
COG0592	L	Replication, recombination and repair
COG0593	L	Replication, recombination and repair
COG0594	J	Translation, ribosomal structure and biogenesis
COG0595	J	Translation, ribosomal structure and biogenesis
COG0596	H	Coenzyme transport and metabolism
COG0596	R	General function prediction only
COG0597	M	Cell wall/membrane/envelope biogenesis
COG0597	U	Intracellular trafficking, secretion, and vesicular transport
COG0598	P	Inorganic ion transport and metabolism
COG0599	R	General function prediction only
COG0600	P	Inorganic ion transport and metabolism
COG0601	E	Amino acid transport and metabolism
COG0601	P	Inorganic ion transport and metabolism
COG0602	R	General function prediction only
COG0603	J	Translation, ribosomal structure and biogenesis
COG0604	C	Energy production and conversion
COG0604	R	General function prediction only
COG0605	P	Inorganic ion transport and metabolism
COG0606	O	Posttranslational modification, protein turnover, chaperones
COG0607	P	Inorganic ion transport and metabolism
COG0608	L	Replication, recombination and repair
COG0609	P	Inorganic ion transport and metabolism
COG0610	V	Defense mechanisms
