tigrfam	mainrole	sub1role
TIGR03509	Energy metabolism	Electron transport
TIGR01111	Transport and binding proteins	Cations and iron carrying compounds
TIGR01337	Energy metabolism	Photosynthesis
TIGR00858	Biosynthesis of cofactors, prosthetic groups, and carriers	Biotin
TIGR01896	Unknown	Unknown
TIGR02235	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR01536	Amino acid biosynthesis	Aspartate family
TIGR03863	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR03412	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00861	Transport and binding proteins	Unknown substrate
TIGR00172	Cellular processes	Cell division
TIGR00939	Transport and binding proteins	Nucleosides, purines and pyrimidines
TIGR01851	Amino acid biosynthesis	Glutamate family
TIGR02092	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR01853	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00317	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR01713	Protein fate	Protein and peptide secretion and trafficking
TIGR01944	Energy metabolism	Electron transport
TIGR02065	Transcription	Degradation of RNA
TIGR03845	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01114	Energy metabolism	Methanogenesis
TIGR00624	DNA metabolism	DNA replication, recombination, and repair
TIGR02055	Central intermediary metabolism	Sulfur metabolism
TIGR03510	Unknown function	General
TIGR02630	Energy metabolism	Sugars
TIGR00616	DNA metabolism	DNA replication, recombination, and repair
TIGR01770	Energy metabolism	Electron transport
TIGR02485	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR00326	Biosynthesis of cofactors, prosthetic groups, and carriers	Riboflavin, FMN, and FAD
TIGR02569	Hypothetical proteins	Conserved
TIGR00922	Transcription	Transcription factors
TIGR00070	Amino acid biosynthesis	Histidine family
TIGR02487	Purines, pyrimidines, nucleosides, and nucleotides	2'-Deoxyribonucleotide metabolism
TIGR02881	Cellular processes	Sporulation and germination
TIGR03093	Cellular processes	Sporulation and germination
TIGR00992	Transport and binding proteins	Amino acids, peptides and amines
TIGR02822	Energy metabolism	Fermentation
TIGR03511	Cellular processes	Chemotaxis and motility
TIGR02329	Regulatory functions	DNA interactions
TIGR00966	Protein fate	Protein and peptide secretion and trafficking
TIGR00140	Protein fate	Protein modification and repair
TIGR00549	Central intermediary metabolism	Other
TIGR01049	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR03630	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00037	Protein synthesis	Translation factors
TIGR03254	Cellular processes	Detoxification
TIGR00137	Protein synthesis	tRNA and rRNA base modification
TIGR00894	Transport and binding proteins	Anions
TIGR03989	Unknown function	Enzymes of unknown specificity
TIGR03793	Cellular processes	Biosynthesis of natural products
TIGR04080	Protein fate	Protein modification and repair
TIGR01291	Cellular processes	Other
TIGR00094	Protein synthesis	tRNA and rRNA base modification
TIGR03555	Energy metabolism	Methanogenesis
TIGR03909	Amino acid biosynthesis	Other
TIGR03928	Protein fate	Protein and peptide secretion and trafficking
TIGR01404	Protein fate	Protein and peptide secretion and trafficking
TIGR00203	Energy metabolism	Electron transport
TIGR02226	Hypothetical proteins	Domain
TIGR00360	Unknown function	General
TIGR03861	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR04414	Protein fate	Protein modification and repair
TIGR00548	Protein fate	Protein and peptide secretion and trafficking
TIGR00907	Transport and binding proteins	Amino acids, peptides and amines
TIGR02666	Biosynthesis of cofactors, prosthetic groups, and carriers	Molybdopterin
TIGR01603	Mobile and extrachromosomal element functions	Prophage functions
TIGR00573	DNA metabolism	Degradation of DNA
TIGR00309	Transport and binding proteins	Cations and iron carrying compounds
TIGR03010	Protein synthesis	tRNA and rRNA base modification
TIGR01397	Cellular processes	Chemotaxis and motility
TIGR01375	Energy metabolism	Amino acids and amines
TIGR02628	Energy metabolism	Sugars
TIGR03991	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR01068	Energy metabolism	Electron transport
TIGR01327	Amino acid biosynthesis	Serine family
TIGR00294	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00909	Transport and binding proteins	Amino acids, peptides and amines
TIGR03084	Hypothetical proteins	Conserved
TIGR03136	Transport and binding proteins	Cations and iron carrying compounds
TIGR01011	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01105	Regulatory functions	Protein interactions
TIGR00978	Amino acid biosynthesis	Aspartate family
TIGR02840	Cellular processes	Sporulation and germination
TIGR01801	Amino acid biosynthesis	Aromatic amino acid family
TIGR03233	DNA metabolism	Restriction/modification
TIGR03713	Protein fate	Protein and peptide secretion and trafficking
TIGR03816	Unknown function	General
TIGR00652	Amino acid biosynthesis	Aspartate family
TIGR00001	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR03048	Energy metabolism	Photosynthesis
TIGR02887	Transport and binding proteins	Amino acids, peptides and amines
TIGR04520	Transport and binding proteins	Unknown substrate
TIGR01514	Biosynthesis of cofactors, prosthetic groups, and carriers	Pyridine nucleotides
TIGR02084	Amino acid biosynthesis	Pyruvate family
TIGR01276	Transport and binding proteins	Other
TIGR04059	Central intermediary metabolism	Other
TIGR02721	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine
TIGR03638	Unknown	Unknown
TIGR02661	Protein fate	Protein folding and stabilization
TIGR03603	Cellular processes	Pathogenesis
TIGR03990	Central intermediary metabolism	Amino sugars
TIGR03269	Energy metabolism	Methanogenesis
TIGR01594	Mobile and extrachromosomal element functions	Prophage functions
TIGR03118	Hypothetical proteins	Conserved
TIGR00321	Protein fate	Protein modification and repair
TIGR01365	Amino acid biosynthesis	Serine family
TIGR02719	Regulatory functions	DNA interactions
TIGR03042	Energy metabolism	Photosynthesis
TIGR00568	DNA metabolism	DNA replication, recombination, and repair
TIGR02141	Transport and binding proteins	Anions
TIGR00855	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01644	Mobile and extrachromosomal element functions	Prophage functions
TIGR00162	Hypothetical proteins	Conserved
TIGR00952	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01852	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00165	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00854	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR00965	Amino acid biosynthesis	Aspartate family
TIGR02838	Cellular processes	Sporulation and germination
TIGR00148	Unknown function	General
TIGR01683	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine
TIGR04381	Regulatory functions	DNA interactions
TIGR03478	Energy metabolism	Anaerobic
TIGR00715	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR02517	Protein fate	Protein and peptide secretion and trafficking
TIGR02583	Unknown	Unknown
TIGR00991	Transport and binding proteins	Nucleosides, purines and pyrimidines
TIGR02035	Energy metabolism	Amino acids and amines
TIGR00427	Unknown function	General
TIGR01941	Transport and binding proteins	Cations and iron carrying compounds
TIGR04040	Unknown function	Enzymes of unknown specificity
TIGR00513	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR00974	Transport and binding proteins	Anions
TIGR01000	Transport and binding proteins	Other
TIGR02071	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR03055	Energy metabolism	Photosynthesis
TIGR00889	Transport and binding proteins	Nucleosides, purines and pyrimidines
TIGR02350	Protein fate	Protein folding and stabilization
TIGR03898	Cellular processes	Toxin production and resistance
TIGR00087	Cellular processes	Adaptations to atypical conditions
TIGR03576	Unknown function	Enzymes of unknown specificity
TIGR01287	Central intermediary metabolism	Nitrogen fixation
TIGR02360	Energy metabolism	Other
TIGR01162	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR04382	Energy metabolism	Sugars
TIGR00002	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00846	Transport and binding proteins	Cations and iron carrying compounds
TIGR00366	Hypothetical proteins	Conserved
TIGR01252	Energy metabolism	Fermentation
TIGR01946	Energy metabolism	Electron transport
TIGR02229	Energy metabolism	Electron transport
TIGR02185	Transport and binding proteins	Unknown substrate
TIGR03337	Regulatory functions	DNA interactions
TIGR01550	Unknown function	General
TIGR00133	Protein synthesis	tRNA aminoacylation
TIGR01839	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR02042	Central intermediary metabolism	Sulfur metabolism
TIGR00591	DNA metabolism	DNA replication, recombination, and repair
TIGR02515	Cell envelope	Surface structures
TIGR02884	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR04019	Unknown function	Enzymes of unknown specificity
TIGR00381	Energy metabolism	Chemoautotrophy
TIGR00097	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine
TIGR01629	Mobile and extrachromosomal element functions	Prophage functions
TIGR02079	Amino acid biosynthesis	Pyruvate family
TIGR03512	Cellular processes	Chemotaxis and motility
TIGR02004	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01101	Transport and binding proteins	Cations and iron carrying compounds
TIGR03714	Protein fate	Protein and peptide secretion and trafficking
TIGR02772	DNA metabolism	DNA replication, recombination, and repair
TIGR02307	Mobile and extrachromosomal element functions	Prophage functions
TIGR01929	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR00643	DNA metabolism	DNA replication, recombination, and repair
TIGR02218	Mobile and extrachromosomal element functions	Prophage functions
TIGR01157	Energy metabolism	Electron transport
TIGR00977	Unknown function	General
TIGR01389	DNA metabolism	DNA replication, recombination, and repair
TIGR02348	Protein fate	Protein folding and stabilization
TIGR00944	Transport and binding proteins	Cations and iron carrying compounds
TIGR02938	Central intermediary metabolism	Nitrogen fixation
TIGR03377	Energy metabolism	Anaerobic
TIGR03564	Unknown function	Enzymes of unknown specificity
TIGR01610	DNA metabolism	DNA replication, recombination, and repair
TIGR00508	Biosynthesis of cofactors, prosthetic groups, and carriers	Biotin
TIGR00865	Regulatory functions	Other
TIGR02641	Cellular processes	Other
TIGR01238	Energy metabolism	Amino acids and amines
TIGR00899	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01366	Amino acid biosynthesis	Serine family
TIGR02986	DNA metabolism	Restriction/modification
TIGR00946	Transport and binding proteins	Other
TIGR02751	Energy metabolism	Other
TIGR03580	Unknown function	General
TIGR03751	Mobile and extrachromosomal element functions	Plasmid functions
TIGR00154	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01170	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00364	Unknown function	General
TIGR00801	Transport and binding proteins	Nucleosides, purines and pyrimidines
TIGR02446	Fatty acid and phospholipid metabolism	Degradation
TIGR03633	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR03974	Cellular processes	Biosynthesis of natural products
TIGR02051	Cellular processes	Detoxification
TIGR03147	Energy metabolism	Electron transport
TIGR01927	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR00782	Energy metabolism	Electron transport
TIGR00021	Energy metabolism	Pentose phosphate pathway
TIGR00693	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine
TIGR02134	Energy metabolism	Pentose phosphate pathway
TIGR02977	Cellular processes	Adaptations to atypical conditions
TIGR03091	Cellular processes	Sporulation and germination
TIGR02774	DNA metabolism	DNA replication, recombination, and repair
TIGR01140	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR02790	Transport and binding proteins	Cations and iron carrying compounds
TIGR04390	Unknown function	General
TIGR04343	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR02469	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR03421	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR02054	Cellular processes	Detoxification
TIGR02021	Biosynthesis of cofactors, prosthetic groups, and carriers	Chlorophyll and bacteriochlorphyll
TIGR03442	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR03805	Unknown function	General
TIGR00588	DNA metabolism	DNA replication, recombination, and repair
TIGR01328	Energy metabolism	Amino acids and amines
TIGR01432	Energy metabolism	Electron transport
TIGR00397	Energy metabolism	Electron transport
TIGR02036	Regulatory functions	DNA interactions
TIGR01233	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR04026	Unknown function	Enzymes of unknown specificity
TIGR02023	Biosynthesis of cofactors, prosthetic groups, and carriers	Chlorophyll and bacteriochlorphyll
TIGR02152	Energy metabolism	Sugars
TIGR03744	Mobile and extrachromosomal element functions	Plasmid functions
TIGR02590	Unknown	Unknown
TIGR02906	Cellular processes	Sporulation and germination
TIGR00607	DNA metabolism	DNA replication, recombination, and repair
TIGR00486	Unknown function	General
TIGR03064	Cell envelope	Other
TIGR03137	Cellular processes	Detoxification
TIGR02432	Protein synthesis	tRNA and rRNA base modification
TIGR02930	Central intermediary metabolism	Nitrogen fixation
TIGR02842	Energy metabolism	Electron transport
TIGR03617	Unknown function	Enzymes of unknown specificity
TIGR03859	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR02215	Mobile and extrachromosomal element functions	Prophage functions
TIGR01595	Unknown	Unknown
TIGR03695	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR01897	Unknown	Unknown
TIGR04284	Unknown function	Enzymes of unknown specificity
TIGR02810	Energy metabolism	Sugars
TIGR00449	Protein synthesis	tRNA and rRNA base modification
TIGR02285	Hypothetical proteins	Conserved
TIGR00218	Energy metabolism	Sugars
TIGR00398	Protein synthesis	tRNA aminoacylation
TIGR04106	Unknown	Unknown
TIGR02731	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR04091	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR01716	Regulatory functions	DNA interactions
TIGR03161	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR02638	Energy metabolism	Sugars
TIGR00774	Transport and binding proteins	Cations and iron carrying compounds
TIGR00066	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR00195	DNA metabolism	DNA replication, recombination, and repair
TIGR03348	Cellular processes	Pathogenesis
TIGR00007	Amino acid biosynthesis	Histidine family
TIGR00279	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00680	Transport and binding proteins	Cations and iron carrying compounds
TIGR00771	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR02257	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR03796	Transport and binding proteins	Amino acids, peptides and amines
TIGR01997	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01908	Unknown	Unknown
TIGR00629	DNA metabolism	DNA replication, recombination, and repair
TIGR03353	Protein fate	Protein and peptide secretion and trafficking
TIGR00701	Hypothetical proteins	Conserved
TIGR03968	Regulatory functions	DNA interactions
TIGR03085	Hypothetical proteins	Conserved
TIGR00550	Biosynthesis of cofactors, prosthetic groups, and carriers	Pyridine nucleotides
TIGR02064	Central intermediary metabolism	Sulfur metabolism
TIGR02049	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR03423	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR04417	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR03035	Energy metabolism	Amino acids and amines
TIGR02910	Central intermediary metabolism	Sulfur metabolism
TIGR00111	Protein synthesis	Translation factors
TIGR03669	Transport and binding proteins	Amino acids, peptides and amines
TIGR01579	Protein synthesis	tRNA and rRNA base modification
TIGR01448	Unknown function	Enzymes of unknown specificity
TIGR02699	Energy metabolism	Electron transport
TIGR03609	Cell envelope	Surface structures
TIGR01026	Energy metabolism	ATP-proton motive force interconversion
TIGR00461	Energy metabolism	Amino acids and amines
TIGR03814	Energy metabolism	Amino acids and amines
TIGR00179	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR00318	Regulatory functions	Small molecule interactions
TIGR00729	DNA metabolism	DNA replication, recombination, and repair
TIGR01850	Amino acid biosynthesis	Glutamate family
TIGR04011	Cell envelope	Other
TIGR02805	Transport and binding proteins	Cations and iron carrying compounds
TIGR03444	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR01665	Mobile and extrachromosomal element functions	Prophage functions
TIGR03046	Energy metabolism	Photosynthesis
TIGR00353	Energy metabolism	Electron transport
TIGR01102	Protein fate	Protein and peptide secretion and trafficking
TIGR01150	Energy metabolism	Electron transport
TIGR02046	Energy metabolism	TCA cycle
TIGR03686	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR03533	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR04156	Protein fate	Protein and peptide secretion and trafficking
TIGR01558	Mobile and extrachromosomal element functions	Prophage functions
TIGR03475	Mobile and extrachromosomal element functions	Plasmid functions
TIGR00792	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR03152	Energy metabolism	Electron transport
TIGR00197	Unknown function	General
TIGR01584	Energy metabolism	Fermentation
TIGR04512	Unknown function	General
TIGR01611	Mobile and extrachromosomal element functions	Prophage functions
TIGR01961	Energy metabolism	Electron transport
TIGR01748	Energy metabolism	Sugars
TIGR02878	Cellular processes	Sporulation and germination
TIGR00528	Energy metabolism	Amino acids and amines
TIGR02681	Mobile and extrachromosomal element functions	Prophage functions
TIGR01179	Energy metabolism	Sugars
TIGR01692	Energy metabolism	Amino acids and amines
TIGR01958	Energy metabolism	Electron transport
TIGR00979	Energy metabolism	TCA cycle
TIGR01455	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR00194	DNA metabolism	DNA replication, recombination, and repair
