term	name	hierarchy
GO:0004715	non-membrane spanning protein tyrosine kinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|kinase activity|protein kinase activity|protein tyrosine kinase activity
GO:0004715	non-membrane spanning protein tyrosine kinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|kinase activity|protein kinase activity|protein tyrosine kinase activity
GO:0004121	cystathionine beta-lyase activity	molecular_function|catalytic activity|lyase activity|carbon-sulfur lyase activity
GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on CH-OH group of donors|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0047487	oligogalacturonide lyase activity	molecular_function|catalytic activity|lyase activity|carbon-oxygen lyase activity|carbon-oxygen lyase activity, acting on polysaccharides
GO:0045152	antisigma factor binding	molecular_function|binding|protein binding
GO:0033926	glycopeptide alpha-N-acetylgalactosaminidase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on glycosyl bonds|hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0030058	amine dehydrogenase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0004478	methionine adenosyltransferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring alkyl or aryl (other than methyl) groups
GO:0008782	adenosylhomocysteine nucleosidase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on glycosyl bonds|hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0008968	D-sedoheptulose 7-phosphate isomerase activity	molecular_function|catalytic activity|isomerase activity|intramolecular transferase activity|intramolecular transferase activity, phosphotransferases
GO:0004520	endodeoxyribonuclease activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|nuclease activity|endonuclease activity
GO:0009063	cellular amino acid catabolic process	biological_process|metabolic process|primary metabolic process|cellular amino acid metabolic process
GO:0050290	sphingomyelin phosphodiesterase D activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|lipase activity|phospholipase activity
GO:0050290	sphingomyelin phosphodiesterase D activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|phosphoric ester hydrolase activity|phosphoric diester hydrolase activity
GO:0019290	siderophore biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process
GO:0019290	siderophore biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process
GO:0033296	rhamnose binding	molecular_function|binding|carbohydrate binding|monosaccharide binding
GO:0033296	rhamnose binding	molecular_function|binding|small molecule binding|monosaccharide binding
GO:0048029	monosaccharide binding	molecular_function|binding|carbohydrate binding
GO:0048029	monosaccharide binding	molecular_function|binding|small molecule binding
GO:0004371	glycerone kinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|kinase activity
GO:0004371	glycerone kinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|phosphotransferase activity, alcohol group as acceptor
GO:0004852	uroporphyrinogen-III synthase activity	molecular_function|catalytic activity|lyase activity|carbon-oxygen lyase activity|hydro-lyase activity
GO:0006805	xenobiotic metabolic process	biological_process|metabolic process|cellular metabolic process
GO:0006805	xenobiotic metabolic process	biological_process|cellular process|cellular metabolic process
GO:0003824	catalytic activity	molecular_function
GO:0019200	carbohydrate kinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|kinase activity
GO:0008017	microtubule binding	molecular_function|binding|protein binding|cytoskeletal protein binding|tubulin binding
GO:0050568	protein-glutamine glutaminase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0008138	protein tyrosine/serine/threonine phosphatase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|phosphoric ester hydrolase activity|phosphatase activity|phosphoprotein phosphatase activity
GO:0019684	photosynthesis, light reaction	biological_process|metabolic process|cellular metabolic process|generation of precursor metabolites and energy
GO:0019684	photosynthesis, light reaction	biological_process|cellular process|cellular metabolic process|generation of precursor metabolites and energy
GO:0004399	histidinol dehydrogenase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on CH-OH group of donors|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0003711	obsolete transcription elongation regulator activity	
GO:0004124	cysteine synthase activity	molecular_function|catalytic activity|lyase activity|carbon-oxygen lyase activity
GO:0009767	photosynthetic electron transport chain	biological_process|metabolic process|cellular metabolic process|generation of precursor metabolites and energy|electron transport chain
GO:0009767	photosynthetic electron transport chain	biological_process|cellular process|cellular metabolic process|generation of precursor metabolites and energy|electron transport chain
GO:0016566	obsolete specific transcriptional repressor activity	
GO:0005260	channel-conductance-controlling ATPase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on acid anhydrides|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|ATPase activity, coupled to transmembrane movement of substances
GO:0050664	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on NAD(P)H
GO:0005201	extracellular matrix structural constituent	molecular_function|structural molecule activity
GO:0009245	lipid A biosynthetic process	biological_process|metabolic process|organic substance metabolic process|lipid metabolic process|lipid biosynthetic process|phospholipid biosynthetic process
GO:0009245	lipid A biosynthetic process	biological_process|metabolic process|primary metabolic process|lipid metabolic process|lipid biosynthetic process|phospholipid biosynthetic process
GO:0004505	phenylalanine 4-monooxygenase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen
GO:0004505	phenylalanine 4-monooxygenase activity	molecular_function|catalytic activity|oxidoreductase activity|monooxygenase activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen
GO:0004042	acetyl-CoA:L-glutamate N-acetyltransferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring acyl groups|transferase activity, transferring acyl groups other than amino-acyl groups|N-acyltransferase activity|N-acetyltransferase activity
GO:0004042	acetyl-CoA:L-glutamate N-acetyltransferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring acyl groups|transferase activity, transferring acyl groups other than amino-acyl groups|acetyltransferase activity|N-acetyltransferase activity
GO:0004455	ketol-acid reductoisomerase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on CH-OH group of donors|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0032403	protein complex binding	molecular_function|binding|macromolecular complex binding
GO:0032403	protein complex binding	molecular_function|binding|protein binding
GO:0005975	carbohydrate metabolic process	biological_process|metabolic process|organic substance metabolic process
GO:0005975	carbohydrate metabolic process	biological_process|metabolic process|primary metabolic process
GO:0050480	imidazolonepropionase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides
GO:0016791	phosphatase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|phosphoric ester hydrolase activity
GO:0015514	nitrite efflux transmembrane transporter activity	molecular_function|transporter activity|transmembrane transporter activity|efflux transmembrane transporter activity
GO:0000310	xanthine phosphoribosyltransferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring glycosyl groups|transferase activity, transferring pentosyl groups
GO:0008374	O-acyltransferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring acyl groups|transferase activity, transferring acyl groups other than amino-acyl groups
GO:0006413	translational initiation	biological_process|metabolic process|cellular metabolic process
GO:0006413	translational initiation	biological_process|cellular process|cellular metabolic process
GO:0004491	methylmalonate-semialdehyde dehydrogenase (acylating) activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on the aldehyde or oxo group of donors|oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on CH-OH group of donors|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0009098	leucine biosynthetic process	biological_process|metabolic process|primary metabolic process|cellular amino acid metabolic process|cellular amino acid biosynthetic process
GO:0003796	lysozyme activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on glycosyl bonds|hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0042974	retinoic acid receptor binding	molecular_function|binding|protein binding|transcription factor binding
GO:0019955	cytokine binding	molecular_function|binding|protein binding
GO:0008993	rhamnulokinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|phosphotransferase activity, alcohol group as acceptor
GO:0008993	rhamnulokinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|kinase activity|carbohydrate kinase activity
GO:0033743	peptide-methionine (R)-S-oxide reductase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on a sulfur group of donors|oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
GO:0006572	tyrosine catabolic process	biological_process|metabolic process|cellular metabolic process|cellular aromatic compound metabolic process|aromatic amino acid family metabolic process|tyrosine metabolic process
GO:0006572	tyrosine catabolic process	biological_process|cellular process|cellular metabolic process|cellular aromatic compound metabolic process|aromatic amino acid family metabolic process|tyrosine metabolic process
GO:0006572	tyrosine catabolic process	biological_process|metabolic process|cellular metabolic process|cellular aromatic compound metabolic process|aromatic amino acid family metabolic process|aromatic amino acid family catabolic process
GO:0006572	tyrosine catabolic process	biological_process|cellular process|cellular metabolic process|cellular aromatic compound metabolic process|aromatic amino acid family metabolic process|aromatic amino acid family catabolic process
GO:0006572	tyrosine catabolic process	biological_process|metabolic process|cellular metabolic process|cellular aromatic compound metabolic process|aromatic compound catabolic process|aromatic amino acid family catabolic process
GO:0006572	tyrosine catabolic process	biological_process|cellular process|cellular metabolic process|cellular aromatic compound metabolic process|aromatic compound catabolic process|aromatic amino acid family catabolic process
GO:0015036	disulfide oxidoreductase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on a sulfur group of donors
GO:0051861	glycolipid binding	molecular_function|binding|lipid binding
GO:0004856	xylulokinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|phosphotransferase activity, alcohol group as acceptor
GO:0004856	xylulokinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|kinase activity|carbohydrate kinase activity
GO:0004345	glucose-6-phosphate dehydrogenase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on CH-OH group of donors|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0004833	tryptophan 2,3-dioxygenase activity	molecular_function|catalytic activity|oxidoreductase activity|dioxygenase activity|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
GO:0004833	tryptophan 2,3-dioxygenase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
GO:0004514	nicotinate-nucleotide diphosphorylase (carboxylating) activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring glycosyl groups|transferase activity, transferring pentosyl groups
GO:0006422	aspartyl-tRNA aminoacylation	biological_process|metabolic process|primary metabolic process|cellular amino acid metabolic process|amino acid activation|tRNA aminoacylation|tRNA aminoacylation for protein translation
GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|nucleotidyltransferase activity|uridylyltransferase activity
GO:0016757	transferase activity, transferring glycosyl groups	molecular_function|catalytic activity|transferase activity
GO:0006574	valine catabolic process	biological_process|metabolic process|primary metabolic process|cellular amino acid metabolic process|cellular amino acid catabolic process
GO:0004834	tryptophan synthase activity	molecular_function|catalytic activity|lyase activity|carbon-oxygen lyase activity|hydro-lyase activity
GO:0008833	deoxyribonuclease IV (phage-T4-induced) activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|nuclease activity|endonuclease activity|endodeoxyribonuclease activity|endodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0008829	dCTP deaminase activity	molecular_function|catalytic activity|deaminase activity
GO:0008829	dCTP deaminase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines
GO:0004756	selenide, water dikinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|kinase activity
GO:0008797	aspartate ammonia-lyase activity	molecular_function|catalytic activity|lyase activity|carbon-nitrogen lyase activity|ammonia-lyase activity
GO:0045301	tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-hydroxylase activity	molecular_function|catalytic activity|oxidoreductase activity
GO:0008835	diaminohydroxyphosphoribosylaminopyrimidine deaminase activity	molecular_function|catalytic activity|deaminase activity
GO:0008835	diaminohydroxyphosphoribosylaminopyrimidine deaminase activity	molecular_function|catalytic activity|deaminase activity
GO:0046983	protein dimerization activity	molecular_function|binding|protein binding
GO:0034639	L-amino acid efflux transmembrane transporter activity	molecular_function|transporter activity|transmembrane transporter activity|efflux transmembrane transporter activity
GO:0019175	alpha-ribazole phosphatase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|phosphoric ester hydrolase activity|phosphatase activity
GO:0019104	DNA N-glycosylase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on glycosyl bonds|hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0046812	host cell surface binding	molecular_function|binding
GO:0044238	primary metabolic process	biological_process|metabolic process
GO:0008081	phosphoric diester hydrolase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|phosphoric ester hydrolase activity
GO:0051083	'de novo' cotranslational protein folding	biological_process|cellular process|protein folding|'de novo' protein folding
GO:0017022	myosin binding	molecular_function|binding|protein binding|cytoskeletal protein binding
GO:0004655	porphobilinogen synthase activity	molecular_function|catalytic activity|lyase activity|carbon-oxygen lyase activity|hydro-lyase activity
GO:0042623	ATPase activity, coupled	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on acid anhydrides|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides|pyrophosphatase activity|nucleoside-triphosphatase activity|ATPase activity
GO:0045183	translation factor activity, non-nucleic acid binding	molecular_function|translation regulator activity
GO:0050511	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring glycosyl groups|UDP-glycosyltransferase activity|acetylglucosaminyltransferase activity
GO:0050511	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring glycosyl groups|transferase activity, transferring hexosyl groups|acetylglucosaminyltransferase activity
GO:0009055	electron carrier activity	molecular_function
GO:0003855	3-dehydroquinate dehydratase activity	molecular_function|catalytic activity|lyase activity|carbon-oxygen lyase activity|hydro-lyase activity
GO:0004604	phosphoadenylyl-sulfate reductase (thioredoxin) activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on a sulfur group of donors|oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
GO:0006520	cellular amino acid metabolic process	biological_process|metabolic process|primary metabolic process
GO:0052855	ADP-dependent NAD(P)H-hydrate dehydratase activity	molecular_function|catalytic activity|lyase activity|carbon-oxygen lyase activity|hydro-lyase activity
GO:0016740	transferase activity	molecular_function|catalytic activity
GO:0004523	RNA-DNA hybrid ribonuclease activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|nuclease activity|ribonuclease activity|endoribonuclease activity|endoribonuclease activity, producing 5'-phosphomonoesters
GO:0004523	RNA-DNA hybrid ribonuclease activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|nuclease activity|endonuclease activity|endoribonuclease activity|endoribonuclease activity, producing 5'-phosphomonoesters
GO:0005199	structural constituent of cell wall	molecular_function|structural molecule activity
GO:0043225	ATPase-coupled anion transmembrane transporter activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on acid anhydrides|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|ATPase activity, coupled to transmembrane movement of substances|ATPase coupled ion transmembrane transporter activity
GO:0008092	cytoskeletal protein binding	molecular_function|binding|protein binding
GO:0050607	mycothiol-dependent formaldehyde dehydrogenase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on the aldehyde or oxo group of donors|oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0009072	aromatic amino acid family metabolic process	biological_process|metabolic process|cellular metabolic process|cellular aromatic compound metabolic process
GO:0009072	aromatic amino acid family metabolic process	biological_process|cellular process|cellular metabolic process|cellular aromatic compound metabolic process
GO:0005125	cytokine activity	molecular_function|binding|protein binding|receptor binding
GO:0004133	glycogen debranching enzyme activity	molecular_function|catalytic activity
GO:0004048	anthranilate phosphoribosyltransferase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring glycosyl groups|transferase activity, transferring pentosyl groups
GO:0018660	4-hydroxyphenylacetate,NADH:oxygen oxidoreductase (3-hydroxylating) activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
GO:0018660	4-hydroxyphenylacetate,NADH:oxygen oxidoreductase (3-hydroxylating) activity	molecular_function|catalytic activity|oxidoreductase activity|monooxygenase activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
GO:0006431	methionyl-tRNA aminoacylation	biological_process|metabolic process|primary metabolic process|cellular amino acid metabolic process|amino acid activation|tRNA aminoacylation|tRNA aminoacylation for protein translation
GO:0000156	phosphorelay response regulator activity	molecular_function|signal transducer activity
GO:0015562	efflux transmembrane transporter activity	molecular_function|transporter activity|transmembrane transporter activity
GO:0008986	pyruvate, water dikinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|kinase activity
GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity	molecular_function|catalytic activity|ligase activity|ligase activity, forming carbon-nitrogen bonds|carbon-nitrogen ligase activity, with glutamine as amido-N-donor
GO:0004535	poly(A)-specific ribonuclease activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|nuclease activity|exonuclease activity|3'-5' exonuclease activity|3'-5'-exoribonuclease activity
GO:0015936	coenzyme A metabolic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process
GO:0015936	coenzyme A metabolic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process
GO:0016772	transferase activity, transferring phosphorus-containing groups	molecular_function|catalytic activity|transferase activity
GO:0007020	microtubule nucleation	biological_process|cellular process|cellular component organization|organelle organization|cytoskeleton organization|microtubule cytoskeleton organization
GO:0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor	molecular_function|catalytic activity|ligase activity|ligase activity, forming carbon-nitrogen bonds
GO:0051907	S-(hydroxymethyl)glutathione synthase activity	molecular_function|catalytic activity|lyase activity|carbon-sulfur lyase activity
GO:0010181	FMN binding	molecular_function|binding|cofactor binding
GO:0019361	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|coenzyme biosynthetic process
GO:0019361	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|coenzyme biosynthetic process
GO:0019361	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process|coenzyme biosynthetic process
GO:0019361	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process|coenzyme biosynthetic process
GO:0019143	3-deoxy-manno-octulosonate-8-phosphatase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on ester bonds|phosphoric ester hydrolase activity|phosphatase activity
GO:0046917	triphosphoribosyl-dephospho-CoA synthase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|phosphotransferase activity, for other substituted phosphate groups
GO:0003964	RNA-directed DNA polymerase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|nucleotidyltransferase activity|DNA polymerase activity
GO:0008762	UDP-N-acetylmuramate dehydrogenase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on CH-OH group of donors|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	molecular_function|catalytic activity|oxidoreductase activity|monooxygenase activity
GO:0004355	glutamate synthase (NADPH) activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on the CH-NH2 group of donors|glutamate synthase activity|glutamate synthase activity, NAD(P)H as acceptor
GO:0004642	phosphoribosylformylglycinamidine synthase activity	molecular_function|catalytic activity|ligase activity|ligase activity, forming carbon-nitrogen bonds|carbon-nitrogen ligase activity, with glutamine as amido-N-donor
GO:0015042	trypanothione-disulfide reductase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on a sulfur group of donors|disulfide oxidoreductase activity
GO:0015042	trypanothione-disulfide reductase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on NAD(P)H|oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor
GO:0015042	trypanothione-disulfide reductase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on NAD(P)H|oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor
GO:0042925	benzoate transporter activity	molecular_function|transporter activity|xenobiotic transporter activity
GO:0022900	electron transport chain	biological_process|metabolic process|cellular metabolic process|generation of precursor metabolites and energy
GO:0022900	electron transport chain	biological_process|cellular process|cellular metabolic process|generation of precursor metabolites and energy
GO:0015926	glucosidase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on glycosyl bonds|hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0016251	obsolete general RNA polymerase II transcription factor activity	
GO:0009973	adenylyl-sulfate reductase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on a sulfur group of donors
GO:0006694	steroid biosynthetic process	biological_process|metabolic process|organic substance metabolic process|lipid metabolic process|lipid biosynthetic process
GO:0006694	steroid biosynthetic process	biological_process|metabolic process|primary metabolic process|lipid metabolic process|lipid biosynthetic process
GO:0043365	[formate-C-acetyltransferase]-activating enzyme activity	molecular_function|catalytic activity|catalysis of free radical formation
